Orthogroup	AstephensiUCISS2018	AfunestusAfunGA1
OG0000000	ASTEI20_043005, ASTEI20_036044, ASTEI20_033927, ASTEI20_035586, ASTEI20_043863, ASTEI20_036508, ASTEI20_036954, ASTEI20_045336, ASTEI20_039783, ASTEI20_040467, ASTEI20_036028, ASTEI20_033906, ASTEI20_042456, ASTEI20_033270, ASTEI20_035754, ASTEI20_033053	AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807
OG0000000	ASTEI20_040733, ASTEI20_035135, ASTEI20_044487, ASTEI20_031519, ASTEI20_044948	AFUN2_011806, AFUN2_014699
OG0000000	ASTEI20_035276	AFUN2_014431
OG0000001	ASTEI20_043116, ASTEI20_033272, ASTEI20_044305	AFUN2_004122, AFUN2_008007, AFUN2_014393
OG0000001	ASTEI20_045927	AFUN2_002447
OG0000001	ASTEI20_033127	AFUN2_003797
OG0000001	ASTEI20_039515	AFUN2_004608
OG0000001	ASTEI20_046161	AFUN2_010913
OG0000001	ASTEI20_031571	AFUN2_002897
OG0000001	ASTEI20_032921	AFUN2_007676
OG0000001	ASTEI20_033826	AFUN2_003905
OG0000001	ASTEI20_039571	AFUN2_009709
OG0000002	ASTEI20_040013	AFUN2_014359
OG0000002	ASTEI20_036300	AFUN2_014054
OG0000002	ASTEI20_038121	AFUN2_008570
OG0000002	ASTEI20_035875	AFUN2_013651
OG0000002	ASTEI20_036499	AFUN2_013390, AFUN2_014070
OG0000002	ASTEI20_043191	AFUN2_009636
OG0000002	ASTEI20_032133, ASTEI20_045226	AFUN2_009035
OG0000002	ASTEI20_045592, ASTEI20_043030	AFUN2_002132
OG0000002	ASTEI20_031161, ASTEI20_041459	AFUN2_005303
OG0000002	ASTEI20_036351, ASTEI20_044520	AFUN2_006796
OG0000002	ASTEI20_034857, ASTEI20_036438	AFUN2_005756
OG0000002	ASTEI20_036203	AFUN2_003508
OG0000003	ASTEI20_037049	AFUN2_013652
OG0000003	ASTEI20_032078, ASTEI20_031811	AFUN2_004469
OG0000004	ASTEI20_032191	AFUN2_013636
OG0000004	ASTEI20_034764	AFUN2_003330
OG0000004	ASTEI20_045351	AFUN2_008877
OG0000004	ASTEI20_043633	AFUN2_013113
OG0000004	ASTEI20_042075	AFUN2_005179
OG0000004	ASTEI20_041491	AFUN2_007262
OG0000004	ASTEI20_037387	AFUN2_009887
OG0000004	ASTEI20_032097	AFUN2_009657
OG0000005	ASTEI20_042070, ASTEI20_038750, ASTEI20_037103	AFUN2_007230, AFUN2_004842
OG0000005	ASTEI20_035251, ASTEI20_045538, ASTEI20_043597, ASTEI20_043060, ASTEI20_044767, ASTEI20_032804	AFUN2_000892, AFUN2_006367, AFUN2_013793, AFUN2_005075, AFUN2_011723, AFUN2_003443
OG0000006	ASTEI20_034072, ASTEI20_044124, ASTEI20_040743, ASTEI20_032093, ASTEI20_044334, ASTEI20_044113, ASTEI20_036967, ASTEI20_041540, ASTEI20_038144	AFUN2_007708, AFUN2_009331
OG0000006	ASTEI20_037811, ASTEI20_032286, ASTEI20_034295, ASTEI20_045632, ASTEI20_037568	AFUN2_001908, AFUN2_009118, AFUN2_013138
OG0000006	ASTEI20_037125	AFUN2_004254
OG0000006	ASTEI20_032891, ASTEI20_037854	AFUN2_009779, AFUN2_004691, AFUN2_012399, AFUN2_001067, AFUN2_005143, AFUN2_006094, AFUN2_004098
OG0000006	ASTEI20_043019, ASTEI20_046077, ASTEI20_045058, ASTEI20_035134, ASTEI20_042782	AFUN2_004010, AFUN2_002941, AFUN2_010235, AFUN2_000888, AFUN2_013493
OG0000006	ASTEI20_034128	AFUN2_013718, AFUN2_006489
OG0000006	ASTEI20_030984, ASTEI20_031059, ASTEI20_041710, ASTEI20_032630, ASTEI20_036489, ASTEI20_039912, ASTEI20_044414, ASTEI20_037300, ASTEI20_044854, ASTEI20_042709, ASTEI20_039653, ASTEI20_045153, ASTEI20_034435, ASTEI20_038259, ASTEI20_040228, ASTEI20_040458, ASTEI20_045604, ASTEI20_041451	AFUN2_014532
OG0000007	ASTEI20_031643	AFUN2_004043, AFUN2_006670
OG0000007	ASTEI20_035663	AFUN2_001709
OG0000007	ASTEI20_033805	AFUN2_014614
OG0000007	ASTEI20_036392	AFUN2_009778
OG0000007	ASTEI20_044422	AFUN2_001920
OG0000007	ASTEI20_041560	AFUN2_011937
OG0000007	ASTEI20_045006	AFUN2_005862
OG0000007	ASTEI20_033378	AFUN2_011780
OG0000007	ASTEI20_036188, ASTEI20_034296	AFUN2_012023
OG0000007	ASTEI20_039161	AFUN2_007690, AFUN2_003406
OG0000007	ASTEI20_043388	AFUN2_006859
OG0000007	ASTEI20_040387	AFUN2_003170
OG0000008	ASTEI20_031614	AFUN2_005813
OG0000008	ASTEI20_045981	AFUN2_011626
OG0000008	ASTEI20_045188	AFUN2_014353, AFUN2_012060
OG0000008	ASTEI20_044670	AFUN2_001736
OG0000008	ASTEI20_031005	AFUN2_010492
OG0000009	ASTEI20_040741	AFUN2_002572
OG0000009	ASTEI20_044827	AFUN2_012897, AFUN2_008888, AFUN2_001196, AFUN2_004806, AFUN2_007216, AFUN2_007461, AFUN2_001821, AFUN2_009063, AFUN2_011932, AFUN2_009447, AFUN2_014561
OG0000010	ASTEI20_038744	AFUN2_000320
OG0000010	ASTEI20_038323	AFUN2_014109
OG0000010	ASTEI20_041896	AFUN2_009560
OG0000010	ASTEI20_034511	AFUN2_009244
OG0000010	ASTEI20_045103, ASTEI20_045045	AFUN2_008846
OG0000010	ASTEI20_037148, ASTEI20_039539	AFUN2_008281
OG0000010	ASTEI20_038929, ASTEI20_039292, ASTEI20_037439, ASTEI20_041154, ASTEI20_041324, ASTEI20_040759, ASTEI20_041054, ASTEI20_033362	AFUN2_001353, AFUN2_006534, AFUN2_002304, AFUN2_006559, AFUN2_012647
OG0000010	ASTEI20_037332	AFUN2_010091
OG0000011	ASTEI20_036542	AFUN2_011181
OG0000011	ASTEI20_039975	AFUN2_008927
OG0000011	ASTEI20_040335	AFUN2_000890
OG0000011	ASTEI20_042899	AFUN2_006226
OG0000011	ASTEI20_037935, ASTEI20_034583, ASTEI20_039544, ASTEI20_039582, ASTEI20_040205	AFUN2_003622, AFUN2_009821
OG0000011	ASTEI20_032335, ASTEI20_044907	AFUN2_002952
OG0000012	ASTEI20_035093	AFUN2_008516
OG0000012	ASTEI20_044655	AFUN2_006798
OG0000013	ASTEI20_044393	AFUN2_008231
OG0000013	ASTEI20_036070, ASTEI20_034401	AFUN2_000667
OG0000013	ASTEI20_042039	AFUN2_002726
OG0000013	ASTEI20_033404	AFUN2_011275
OG0000013	ASTEI20_042237, ASTEI20_043320	AFUN2_004549, AFUN2_003503, AFUN2_006795
OG0000013	ASTEI20_034998, ASTEI20_034168	AFUN2_014386
OG0000014	ASTEI20_035937	AFUN2_006975
OG0000014	ASTEI20_030803	AFUN2_010356
OG0000014	ASTEI20_045732, ASTEI20_043799	AFUN2_013192
OG0000014	ASTEI20_033207	AFUN2_003737
OG0000014	ASTEI20_037522, ASTEI20_042376	AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598
OG0000014	ASTEI20_038148, ASTEI20_041712	AFUN2_000713, AFUN2_001431
OG0000015	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231	AFUN2_012161
OG0000015	ASTEI20_044899	AFUN2_000980
OG0000015	ASTEI20_031600	AFUN2_004072
OG0000015	ASTEI20_037282	AFUN2_012163
OG0000015	ASTEI20_034188	AFUN2_004396
OG0000016	ASTEI20_044818	AFUN2_008470
OG0000016	ASTEI20_031052	AFUN2_011213
OG0000016	ASTEI20_044106	AFUN2_014654
OG0000016	ASTEI20_037566	AFUN2_011099
OG0000016	ASTEI20_040856	AFUN2_014351
OG0000016	ASTEI20_042351	AFUN2_010177
OG0000016	ASTEI20_033956	AFUN2_004982
OG0000017	ASTEI20_041579	AFUN2_007093
OG0000017	ASTEI20_039449	AFUN2_004985, AFUN2_014268, AFUN2_008822, AFUN2_002118, AFUN2_005588, AFUN2_001925, AFUN2_006866, AFUN2_008959, AFUN2_000914, AFUN2_003468
OG0000018	ASTEI20_033285, ASTEI20_031707	AFUN2_013059
OG0000018	ASTEI20_039025, ASTEI20_040652, ASTEI20_038491	AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843
OG0000018	ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074	AFUN2_000851
