	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
AaegyptiLVP_AGWG	0.0	696.0	315.0	467.0	583.0	326.0	536.0	491.0	722.0	616.0
Aalbopictus_AalbF5	760.0	0.0	413.0	731.0	693.0	446.0	629.0	929.0	1420.0	855.0
AdirusWRAIR2	272.0	344.0	0.0	114.0	139.0	70.0	170.0	90.0	263.0	219.0
AfunestusAfunGA1	421.0	548.0	131.0	0.0	236.0	78.0	245.0	313.0	391.0	407.0
AgambiaePEST	593.0	678.0	214.0	329.0	0.0	136.0	419.0	322.0	532.0	402.0
AminimusMINIMUS1	266.0	344.0	60.0	79.0	104.0	0.0	107.0	77.0	229.0	251.0
AsinensisChina	454.0	553.0	216.0	252.0	331.0	122.0	0.0	271.0	438.0	294.0
AstephensiUCISS2018	446.0	673.0	121.0	317.0	257.0	87.0	277.0	0.0	488.0	425.0
CquinquefasciatusJHB2020	628.0	1191.0	327.0	528.0	608.0	313.0	489.0	618.0	0.0	550.0
LlongipalpisASM	613.0	683.0	278.0	441.0	491.0	373.0	397.0	472.0	573.0	0.0
