Orthogroup	CquinquefasciatusJHB2020	AfunestusAfunGA1
OG0000000	CQUJHB014876, CQUJHB006110, CQUJHB012282, CQUJHB013622, CQUJHB016039, CQUJHB007707, CQUJHB002677, CQUJHB018190, CQUJHB013695	AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807
OG0000000	CQUJHB008409, CQUJHB003477, CQUJHB009777	AFUN2_011806, AFUN2_014699, AFUN2_014431
OG0000000	CQUJHB000765, CQUJHB012120, CQUJHB007641, CQUJHB010283, CQUJHB009412, CQUJHB014846, CQUJHB012837, CQUJHB001173, CQUJHB006705, CQUJHB015543, CQUJHB017213, CQUJHB017363, CQUJHB007171, CQUJHB010481, CQUJHB004515, CQUJHB009739, CQUJHB012441, CQUJHB000255, CQUJHB015940, CQUJHB007839, CQUJHB015977, CQUJHB009580, CQUJHB007198, CQUJHB010208, CQUJHB004060	AFUN2_012339
OG0000001	CQUJHB008010, CQUJHB014772, CQUJHB013280	AFUN2_004122, AFUN2_008007, AFUN2_014393, AFUN2_002447, AFUN2_003797, AFUN2_007348
OG0000001	CQUJHB000158, CQUJHB018360, CQUJHB009369, CQUJHB013215, CQUJHB014800, CQUJHB009138, CQUJHB017315, CQUJHB011736, CQUJHB013108, CQUJHB015333, CQUJHB001788, CQUJHB010747, CQUJHB005225, CQUJHB006667, CQUJHB017242, CQUJHB005142, CQUJHB015301, CQUJHB001923, CQUJHB017126	AFUN2_010913
OG0000001	CQUJHB010237, CQUJHB007643	AFUN2_002897, AFUN2_007676, AFUN2_013608, AFUN2_003905, AFUN2_009709
OG0000001	CQUJHB011703	AFUN2_006480
OG0000002	CQUJHB017007	AFUN2_014359, AFUN2_014054, AFUN2_008570, AFUN2_013651, AFUN2_013390, AFUN2_014070
OG0000002	CQUJHB007871, CQUJHB001163	AFUN2_009636
OG0000002	CQUJHB009563, CQUJHB004450, CQUJHB000426	AFUN2_009035, AFUN2_002132, AFUN2_005303
OG0000002	CQUJHB002682	AFUN2_006796
OG0000002	CQUJHB008354	AFUN2_005756
