Orthogroup	Species	LlongipalpisASM	Orthologs
OG0000000	AfunestusAfunGA1	LOC129794284, LOC129791988	AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807
OG0000000	AgambiaePEST	LOC129794284, LOC129791988	AGAP029842
OG0000000	AstephensiUCISS2018	LOC129794284, LOC129791988	ASTEI20_036954, ASTEI20_045336, ASTEI20_039783
OG0000000	AdirusWRAIR2	LOC129794284, LOC129791988	ADIR014747
OG0000000	CquinquefasciatusJHB2020	LOC129794284, LOC129791988	CQUJHB016039
OG0000000	Aalbopictus_AalbF5	LOC129794284, LOC129791988	LOC134286552, LOC134285066, LOC134292072, LOC134289666, LOC134286374, LOC134284478, LOC134288461, LOC134290756, LOC134286551, LOC115258035, LOC134290325, LOC134288794, LOC134286585, LOC134288986, LOC134289870, LOC134288788, LOC134286134, LOC134288351
OG0000000	AfunestusAfunGA1	LOC129788552, LOC129785947, LOC129789206, LOC129792934, LOC129790662, LOC129789212, LOC129791171, LOC129792336, LOC129787411, LOC129793343, LOC129794560, LOC129794445, LOC129789580, LOC129797431, LOC129793267, LOC129789569, LOC129791787, LOC129786951, LOC129792883	AFUN2_012339
OG0000000	AaegyptiLVP_AGWG	LOC129788552, LOC129785947, LOC129789206, LOC129792934, LOC129790662, LOC129789212, LOC129791171, LOC129792336, LOC129787411, LOC129793343, LOC129794560, LOC129794445, LOC129789580, LOC129797431, LOC129793267, LOC129789569, LOC129791787, LOC129786951, LOC129792883	AAEL023571
OG0000000	CquinquefasciatusJHB2020	LOC129788552, LOC129785947, LOC129789206	CQUJHB007171, CQUJHB010481
OG0000000	Aalbopictus_AalbF5	LOC129788552, LOC129785947, LOC129789206	LOC134291857, LOC134286222, LOC134291820
OG0000000	CquinquefasciatusJHB2020	LOC129792934, LOC129790662, LOC129789212, LOC129791171, LOC129792336, LOC129787411, LOC129793343, LOC129794560, LOC129794445, LOC129789580, LOC129797431, LOC129793267, LOC129789569, LOC129791787, LOC129786951, LOC129792883	CQUJHB004515, CQUJHB009739
