Orthogroup	AdirusWRAIR2	AgambiaePEST
OG0000000	ADIR014747	AGAP029842
OG0000001	ADIR004308	AGAP006848
OG0000001	ADIR014366	AGAP006859
OG0000001	ADIR014365, ADIR014363	AGAP006864, AGAP006597
OG0000002	ADIR003458	AGAP002865
OG0000002	ADIR016077	AGAP008212
OG0000002	ADIR016078	AGAP008214
OG0000002	ADIR016076	AGAP008213
OG0000002	ADIR016100, ADIR016102	AGAP008209
OG0000002	ADIR016074	AGAP008206
OG0000002	ADIR016075	AGAP008205
OG0000002	ADIR002023	AGAP011028, AGAP011029
OG0000002	ADIR016072	AGAP008207
OG0000003	ADIR011510	AGAP010309
OG0000004	ADIR001878	AGAP012555
OG0000006	ADIR004457	AGAP002950
OG0000006	ADIR002576	AGAP029348, AGAP029433
OG0000007	ADIR009667	AGAP028589, AGAP012704, AGAP029740, AGAP027985, AGAP028107, AGAP012027
OG0000007	ADIR009607	AGAP012767, AGAP029743, AGAP012768, AGAP012722
OG0000007	ADIR009608	AGAP029745, AGAP029744, AGAP029741, AGAP029746, AGAP012835, AGAP029742
OG0000007	ADIR000815	AGAP000164
OG0000007	ADIR009669	AGAP028159, AGAP028040
OG0000007	ADIR009588	AGAP029454
OG0000007	ADIR009595, ADIR009594	AGAP012602, AGAP029739, AGAP012619, AGAP028682, AGAP028520, AGAP012834, AGAP028681, AGAP028667, AGAP028683, AGAP012753, AGAP029786, AGAP028670, AGAP011404, AGAP012546
OG0000007	ADIR009596	AGAP012719, AGAP011409
OG0000007	ADIR015954	AGAP011403
OG0000007	ADIR015955, ADIR009593	AGAP011405
OG0000007	ADIR009598	AGAP028625
OG0000007	ADIR009597	AGAP028675, AGAP028676, AGAP028677
OG0000008	ADIR003918	AGAP000818
OG0000008	ADIR000457	AGAP012296
OG0000008	ADIR000455	AGAP012291, AGAP012292
OG0000009	ADIR002344	AGAP011845
OG0000010	ADIR016002	AGAP007251
OG0000010	ADIR016004	AGAP006673
OG0000010	ADIR016001	AGAP006674
OG0000010	ADIR014645	AGAP006675
OG0000011	ADIR006800	AGAP028042
OG0000011	ADIR010578	AGAP013465
OG0000011	ADIR006803	AGAP008893
OG0000011	ADIR000515	AGAP028137, AGAP028160, AGAP028156, AGAP028178
OG0000011	ADIR000517	AGAP028013, AGAP028067, AGAP012676
OG0000012	ADIR001583	AGAP012573, AGAP005025, AGAP012559, AGAP012709
OG0000013	ADIR010434, ADIR010435	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669
OG0000013	ADIR003492	AGAP003385, AGAP003379
OG0000014	ADIR005075	AGAP009728
OG0000014	ADIR007771	AGAP005848
OG0000014	ADIR003639	AGAP028439, AGAP006743
OG0000014	ADIR001674, ADIR001675	AGAP004917, AGAP004918, AGAP004916
OG0000015	ADIR006886	AGAP005645
OG0000015	ADIR014733	AGAP005503
OG0000015	ADIR014730	AGAP005500
OG0000015	ADIR008680	AGAP005499
OG0000016	ADIR009722	AGAP008861
OG0000016	ADIR009355	AGAP009966
OG0000017	ADIR001584	AGAP012558
OG0000018	ADIR011745, ADIR010868	AGAP028579
OG0000018	ADIR009844	AGAP013250
OG0000018	ADIR006748	AGAP029431
OG0000020	ADIR001887	AGAP010707, AGAP010709
OG0000020	ADIR001888	AGAP002910, AGAP002912, AGAP002911
OG0000020	ADIR009510, ADIR009512	AGAP010708
OG0000021	ADIR003865	AGAP005095
OG0000021	ADIR001186	AGAP000651
OG0000021	ADIR002970	AGAP011514
OG0000021	ADIR000303	AGAP011516
OG0000021	ADIR010427	AGAP001676
OG0000021	ADIR015616	AGAP011515
OG0000023	ADIR006953	AGAP006253
OG0000023	ADIR007551, ADIR007550	AGAP029824, AGAP006586, AGAP006584, AGAP029797
OG0000024	ADIR006878	AGAP012569, AGAP005636, AGAP005638
OG0000024	ADIR006877	AGAP005637
OG0000024	ADIR015850	AGAP006226
OG0000024	ADIR015848	AGAP006224
OG0000024	ADIR015847	AGAP006225
OG0000024	ADIR015846	AGAP006221
OG0000024	ADIR015845	AGAP006220
OG0000026	ADIR015755	AGAP004981, AGAP012617
OG0000026	ADIR015752	AGAP012616
OG0000026	ADIR015756	AGAP004976
OG0000026	ADIR015753	AGAP004980
OG0000026	ADIR015757, ADIR015758	AGAP004975
OG0000026	ADIR015759	AGAP004977
OG0000026	ADIR015754	AGAP004978
OG0000026	ADIR006960	AGAP006258
OG0000026	ADIR003488	AGAP002825
OG0000027	ADIR009739	AGAP010363, AGAP010364
OG0000033	ADIR016018	AGAP003252
OG0000033	ADIR016019, ADIR002300	AGAP003251
OG0000033	ADIR016025	AGAP003246
OG0000033	ADIR016020	AGAP003250
OG0000033	ADIR002841, ADIR016023	AGAP003249, AGAP013487
OG0000033	ADIR016021	AGAP003245, AGAP003247
OG0000033	ADIR016024, ADIR016022	AGAP003248
OG0000034	ADIR008769	AGAP005473
OG0000034	ADIR008768	AGAP005479
OG0000034	ADIR008767	AGAP005481, AGAP005480
OG0000034	ADIR004404	AGAP004575
OG0000034	ADIR007516	AGAP005938
OG0000035	ADIR014329	AGAP005106, AGAP028576, AGAP010323, AGAP029940, AGAP000782, AGAP005476, AGAP005477, AGAP005478, AGAP005474, AGAP005475
OG0000035	ADIR014313	AGAP006696
OG0000035	ADIR003862	AGAP005307
OG0000037	ADIR010210	AGAP013316
OG0000037	ADIR010215, ADIR010214, ADIR010213, ADIR010212, ADIR010211	AGAP013225, AGAP013086, AGAP013456, AGAP013517, AGAP013322, AGAP013353, AGAP013110
OG0000039	ADIR015925	AGAP006420
OG0000039	ADIR015923	AGAP006421
OG0000039	ADIR008758	AGAP005497
OG0000039	ADIR007693	AGAP006417
OG0000039	ADIR015924, ADIR015928, ADIR015927, ADIR007692, ADIR015926	AGAP006443, AGAP006419, AGAP006418
OG0000040	ADIR015602	AGAP006666
OG0000040	ADIR015601	AGAP006667
OG0000040	ADIR015539	AGAP011468
OG0000040	ADIR015541	AGAP011469, AGAP012854
OG0000040	ADIR015540	AGAP011467
OG0000040	ADIR015544	AGAP009410
OG0000040	ADIR006103, ADIR015562	AGAP009394
OG0000040	ADIR006102	AGAP009395, AGAP009396, AGAP009398
OG0000041	ADIR001834	AGAP028600
OG0000041	ADIR001833	AGAP029755
OG0000041	ADIR001835	AGAP029753
OG0000041	ADIR003420	AGAP001764
OG0000042	ADIR000587, ADIR011155	AGAP008403
OG0000042	ADIR000580	AGAP009249
OG0000042	ADIR004510	AGAP029929, AGAP029932
OG0000042	ADIR004365	AGAP029930, AGAP028229, AGAP028069, AGAP028183, AGAP029100, AGAP029093, AGAP029865
OG0000042	ADIR004157	AGAP029264, AGAP012502, AGAP011719
OG0000042	ADIR000370	AGAP010545, AGAP028728
OG0000043	ADIR005615	AGAP012091, AGAP012092
OG0000043	ADIR014481	AGAP028182
OG0000043	ADIR000018	AGAP012173
OG0000043	ADIR014148	AGAP029333, AGAP029867
OG0000048	ADIR016188, ADIR007974	AGAP006194, AGAP006199
OG0000048	ADIR016182, ADIR016183	AGAP006198, AGAP006201, AGAP006195
OG0000048	ADIR016186	AGAP006192
OG0000048	ADIR016187, ADIR016181, ADIR016189	AGAP006193
OG0000049	ADIR016124	AGAP011788
OG0000049	ADIR016128	AGAP011781
OG0000049	ADIR015765	AGAP011792
OG0000049	ADIR015762	AGAP011794, AGAP011793
OG0000049	ADIR016123	AGAP011789
