Orthogroup	AfunestusAfunGA1	AgambiaePEST
OG0000000	AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807	AGAP029842
OG0000001	AFUN2_004122, AFUN2_008007, AFUN2_014393	AGAP006842, AGAP006841, AGAP006840, AGAP006844, AGAP006846, AGAP006845
OG0000001	AFUN2_002447, AFUN2_003797, AFUN2_007348	AGAP006847, AGAP006843
OG0000001	AFUN2_012926	AGAP006848
OG0000001	AFUN2_004608	AGAP006860, AGAP006863
OG0000001	AFUN2_010913	AGAP006859
OG0000001	AFUN2_002897, AFUN2_007676, AFUN2_013608, AFUN2_003905	AGAP006853, AGAP006861, AGAP006854, AGAP006849, AGAP006850, AGAP006852, AGAP006855, AGAP006851
OG0000001	AFUN2_006480	AGAP006864, AGAP006597
OG0000002	AFUN2_014359	AGAP002868
OG0000002	AFUN2_014054	AGAP002869
OG0000002	AFUN2_008570	AGAP002865
OG0000002	AFUN2_013651	AGAP002866
OG0000002	AFUN2_013390, AFUN2_014070	AGAP002867
OG0000002	AFUN2_009636	AGAP002870
OG0000002	AFUN2_009035	AGAP008212
OG0000002	AFUN2_002132	AGAP008214
OG0000002	AFUN2_005303	AGAP008213
OG0000002	AFUN2_006796	AGAP008209
OG0000002	AFUN2_005756	AGAP008206
OG0000002	AFUN2_002248	AGAP008205
OG0000002	AFUN2_003508	AGAP011028, AGAP011029
OG0000004	AFUN2_013636	AGAP012710
OG0000004	AFUN2_005179	AGAP012199
OG0000004	AFUN2_012616	AGAP012894
OG0000005	AFUN2_007230, AFUN2_004842	AGAP028034, AGAP028149
OG0000005	AFUN2_000892, AFUN2_006367, AFUN2_013793, AFUN2_005075, AFUN2_011723, AFUN2_003443	AGAP011193, AGAP005264, AGAP005266, AGAP005265
OG0000006	AFUN2_004254	AGAP002950
OG0000006	AFUN2_010056	AGAP012782, AGAP003624, AGAP007639, AGAP000408
OG0000006	AFUN2_009779, AFUN2_004691, AFUN2_012399, AFUN2_001067, AFUN2_005143, AFUN2_006094, AFUN2_004098, AFUN2_004010, AFUN2_002941, AFUN2_010235, AFUN2_000888, AFUN2_013493, AFUN2_014377, AFUN2_006096, AFUN2_009673, AFUN2_002143, AFUN2_005646	AGAP000105
OG0000006	AFUN2_012202	AGAP029348, AGAP029433
OG0000006	AFUN2_013718, AFUN2_006489	AGAP029795
OG0000006	AFUN2_011586, AFUN2_007334, AFUN2_010102, AFUN2_005018, AFUN2_004255, AFUN2_011427, AFUN2_014532	AGAP029344
OG0000007	AFUN2_004043, AFUN2_006670	AGAP012767, AGAP029743, AGAP012768, AGAP012722
OG0000007	AFUN2_001709	AGAP029745, AGAP029744
OG0000007	AFUN2_014614	AGAP029741, AGAP029746, AGAP012835, AGAP029742
OG0000007	AFUN2_009778	AGAP000164
OG0000007	AFUN2_001920	AGAP028159, AGAP028040
OG0000007	AFUN2_011937	AGAP028667, AGAP028683, AGAP012753, AGAP029786
OG0000007	AFUN2_005862	AGAP028670
OG0000007	AFUN2_011780	AGAP011404, AGAP012546
OG0000007	AFUN2_012023	AGAP028672
OG0000007	AFUN2_003406	AGAP028668
OG0000007	AFUN2_006859	AGAP011403
OG0000007	AFUN2_003170	AGAP028675, AGAP028676, AGAP028677
OG0000008	AFUN2_005813	AGAP000818
OG0000008	AFUN2_011626	AGAP012850, AGAP012295, AGAP012293, AGAP012294
OG0000008	AFUN2_014353, AFUN2_012060	AGAP012296
OG0000008	AFUN2_001736	AGAP012291
OG0000008	AFUN2_010492	AGAP012292
OG0000009	AFUN2_009447	AGAP003913
OG0000010	AFUN2_008829	AGAP007252
OG0000010	AFUN2_000320	AGAP002432, AGAP007262
OG0000010	AFUN2_014109	AGAP007251
OG0000010	AFUN2_009560	AGAP006673
OG0000010	AFUN2_009244	AGAP006675
OG0000010	AFUN2_008846	AGAP005671, AGAP005670
OG0000010	AFUN2_008281	AGAP005669
OG0000010	AFUN2_001353, AFUN2_006534	AGAP005663
OG0000010	AFUN2_002304, AFUN2_006559, AFUN2_012647	AGAP005665, AGAP005664
OG0000010	AFUN2_010091	AGAP005690, AGAP005689, AGAP005691, AGAP005686, AGAP005687, AGAP005688, AGAP012736
OG0000011	AFUN2_011181	AGAP028042
OG0000011	AFUN2_008927	AGAP013465
OG0000011	AFUN2_000890	AGAP008893
OG0000011	AFUN2_006226, AFUN2_002927	AGAP028137, AGAP028160, AGAP028156, AGAP028178
OG0000011	AFUN2_003622, AFUN2_009821	AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991
OG0000011	AFUN2_002952	AGAP028013, AGAP028067, AGAP012676
OG0000012	AFUN2_005969	AGAP001813
OG0000012	AFUN2_008516	AGAP007508
OG0000012	AFUN2_006798	AGAP012573, AGAP005025, AGAP012559, AGAP012709
OG0000012	AFUN2_008107	AGAP003910
OG0000013	AFUN2_008231, AFUN2_000667	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669
OG0000013	AFUN2_002726	AGAP003378
OG0000013	AFUN2_011275	AGAP003384
OG0000013	AFUN2_004549, AFUN2_003503, AFUN2_006795	AGAP003385, AGAP003379
OG0000013	AFUN2_014386	AGAP012795, AGAP012866, AGAP003377, AGAP003382, AGAP003383, AGAP003381, AGAP003380
OG0000014	AFUN2_006975	AGAP009728
OG0000014	AFUN2_010356	AGAP005848
OG0000014	AFUN2_013192	AGAP028439
OG0000014	AFUN2_003737	AGAP006743
OG0000014	AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598	AGAP004917
OG0000014	AFUN2_000713, AFUN2_001431	AGAP004918, AGAP004916
OG0000015	AFUN2_012161	AGAP005645
OG0000015	AFUN2_000980	AGAP005503
OG0000015	AFUN2_004072	AGAP005502
OG0000015	AFUN2_012163	AGAP005501
OG0000015	AFUN2_005101	AGAP005500
OG0000015	AFUN2_004396	AGAP005499
OG0000016	AFUN2_009580	AGAP004770
OG0000016	AFUN2_008470	AGAP008861
OG0000016	AFUN2_011213	AGAP008292, AGAP008293
OG0000016	AFUN2_014654	AGAP008296
OG0000016	AFUN2_013263	AGAP008295, AGAP008294
OG0000016	AFUN2_010177	AGAP012842, AGAP008291, AGAP008290
OG0000016	AFUN2_004982	AGAP009966
OG0000017	AFUN2_007093	AGAP012558
OG0000017	AFUN2_014268	AGAP012885
OG0000017	AFUN2_008822	AGAP012574
OG0000017	AFUN2_000914	AGAP005026
OG0000018	AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843	AGAP028579
OG0000018	AFUN2_001215	AGAP013250
OG0000018	AFUN2_003667, AFUN2_014221, AFUN2_006909, AFUN2_000851	AGAP029431
OG0000020	AFUN2_010799, AFUN2_008522, AFUN2_009055	AGAP010707, AGAP010709
OG0000020	AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335	AGAP002910, AGAP002912, AGAP002911
OG0000020	AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831	AGAP010708
OG0000021	AFUN2_013453, AFUN2_010217	AGAP005095
OG0000021	AFUN2_001683	AGAP000651
OG0000021	AFUN2_001836	AGAP011514
OG0000021	AFUN2_011639	AGAP011516
OG0000021	AFUN2_002771	AGAP001676
OG0000021	AFUN2_007302	AGAP011515
OG0000023	AFUN2_002757	AGAP006253
OG0000023	AFUN2_008581	AGAP002445, AGAP002641
OG0000023	AFUN2_012787, AFUN2_013813, AFUN2_005728, AFUN2_001616	AGAP028459, AGAP006583, AGAP029825, AGAP006585, AGAP006581
OG0000024	AFUN2_008754	AGAP012569, AGAP005636, AGAP005638
OG0000024	AFUN2_004514	AGAP005637
OG0000024	AFUN2_001856	AGAP006226
OG0000024	AFUN2_009727	AGAP006224
OG0000024	AFUN2_006932	AGAP006221
OG0000024	AFUN2_012131	AGAP006220
OG0000026	AFUN2_007391	AGAP004981, AGAP012617
OG0000026	AFUN2_003253	AGAP004978
OG0000026	AFUN2_006722	AGAP006258
OG0000026	AFUN2_005978	AGAP002825
OG0000027	AFUN2_012022	AGAP029283
OG0000027	AFUN2_002065	AGAP010363
OG0000027	AFUN2_004791	AGAP010364
OG0000030	AFUN2_012733	AGAP010812
OG0000030	AFUN2_005352	AGAP010830, AGAP010832, AGAP010831, AGAP010819, AGAP010814, AGAP010818
OG0000033	AFUN2_014039	AGAP003252
OG0000033	AFUN2_008608	AGAP003251
OG0000033	AFUN2_002394	AGAP003246
OG0000033	AFUN2_008977	AGAP003250
OG0000033	AFUN2_005452, AFUN2_008949, AFUN2_011104	AGAP003249, AGAP013487
OG0000033	AFUN2_007576	AGAP003245, AGAP003247
OG0000034	AFUN2_000777	AGAP003594
OG0000034	AFUN2_002152	AGAP005473
OG0000034	AFUN2_005553	AGAP005481, AGAP005480
OG0000034	AFUN2_004371	AGAP005483, AGAP005484
OG0000034	AFUN2_010024	AGAP004575
OG0000034	AFUN2_014222	AGAP005938
OG0000035	AFUN2_006151	AGAP012715, AGAP012588, AGAP012450
OG0000035	AFUN2_012246, AFUN2_011399	AGAP001067
OG0000035	AFUN2_002432, AFUN2_003652	AGAP029940
OG0000035	AFUN2_014196, AFUN2_002672, AFUN2_009607, AFUN2_009222	AGAP005476, AGAP005477, AGAP005478, AGAP005474, AGAP005475
OG0000035	AFUN2_006146	AGAP006696
OG0000035	AFUN2_006683	AGAP005307
OG0000039	AFUN2_009923	AGAP006420
OG0000039	AFUN2_010939	AGAP006421
OG0000039	AFUN2_002356	AGAP005497
OG0000039	AFUN2_001872	AGAP006417
OG0000039	AFUN2_008523, AFUN2_002845	AGAP006443, AGAP006419, AGAP006418
OG0000040	AFUN2_012034	AGAP006666
OG0000040	AFUN2_000621	AGAP006667
OG0000040	AFUN2_012970	AGAP011468
OG0000040	AFUN2_011961	AGAP011469, AGAP012854
OG0000040	AFUN2_013533	AGAP011467
OG0000040	AFUN2_004686	AGAP009394
OG0000041	AFUN2_000732	AGAP029305, AGAP029267
OG0000041	AFUN2_014438	AGAP028600
OG0000041	AFUN2_001049	AGAP029755
OG0000041	AFUN2_010115	AGAP029753
OG0000041	AFUN2_014544	AGAP001764
OG0000042	AFUN2_004081	AGAP008403
OG0000042	AFUN2_014693	AGAP009249, AGAP028179, AGAP028641, AGAP029126
OG0000042	AFUN2_009173	AGAP010545
OG0000042	AFUN2_004521	AGAP028728
OG0000043	AFUN2_001254, AFUN2_009245	AGAP028182
OG0000043	AFUN2_013789	AGAP029285
OG0000043	AFUN2_000632	AGAP012173
OG0000043	AFUN2_002010, AFUN2_009895, AFUN2_004184, AFUN2_011280, AFUN2_012488, AFUN2_014542, AFUN2_012176, AFUN2_009359	AGAP029334, AGAP029308
OG0000043	AFUN2_005543, AFUN2_009900, AFUN2_010698	AGAP029333, AGAP029867
OG0000046	AFUN2_013805	AGAP013221
OG0000048	AFUN2_006474	AGAP008648
