Orthogroup	AfunestusAfunGA1	AsinensisChina
OG0000001	AFUN2_004122, AFUN2_008007, AFUN2_014393, AFUN2_002447, AFUN2_003797, AFUN2_007348	ASIC013765, ASIC013764
OG0000001	AFUN2_012926	ASIC013762
OG0000001	AFUN2_010913	ASIC013748, ASIC013742, ASIC013743
OG0000001	AFUN2_002897, AFUN2_007676, AFUN2_013608, AFUN2_003905	ASIC013758, ASIC013760, ASIC013756, ASIC013755, ASIC013750, ASIC013753, ASIC013746, ASIC013749, ASIC013759, ASIC013761
OG0000001	AFUN2_009709	ASIC013744
OG0000001	AFUN2_006480	ASIC013740
OG0000002	AFUN2_014359	ASIC003137
OG0000002	AFUN2_014054	ASIC003139
OG0000002	AFUN2_008570	ASIC003135
OG0000002	AFUN2_013390, AFUN2_014070	ASIC003136
OG0000002	AFUN2_009636	ASIC003140
OG0000002	AFUN2_009035	ASIC004047
OG0000002	AFUN2_002132	ASIC004049
OG0000002	AFUN2_005303	ASIC004048
OG0000002	AFUN2_006796	ASIC004044
OG0000002	AFUN2_005756	ASIC006840
OG0000002	AFUN2_002248	ASIC006841
OG0000002	AFUN2_003508	ASIC014765, ASIC014766
OG0000004	AFUN2_001150, AFUN2_009612, AFUN2_006106, AFUN2_013665, AFUN2_006350, AFUN2_013636, AFUN2_003330, AFUN2_008877, AFUN2_013113, AFUN2_005179, AFUN2_007262, AFUN2_012616, AFUN2_009887, AFUN2_009657	ASIC018314
OG0000006	AFUN2_007708, AFUN2_009331	ASIC000906
OG0000006	AFUN2_001908, AFUN2_009118, AFUN2_013138	ASIC015100
OG0000006	AFUN2_004254	ASIC012877, ASIC006098
OG0000006	AFUN2_010056	ASIC022014
OG0000008	AFUN2_005813	ASIC020436
OG0000008	AFUN2_011626	ASIC017821, ASIC017823, ASIC017822
OG0000008	AFUN2_014353, AFUN2_012060	ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814
OG0000008	AFUN2_001736	ASIC017825
OG0000008	AFUN2_010492	ASIC017824
OG0000009	AFUN2_007461	ASIC018203
OG0000010	AFUN2_008829	ASIC007845
OG0000010	AFUN2_000320	ASIC007831, ASIC007832
OG0000010	AFUN2_014109	ASIC007846, ASIC015160
OG0000010	AFUN2_009560	ASIC015159
OG0000010	AFUN2_009244	ASIC015156
OG0000010	AFUN2_008846	ASIC012971, ASIC012972, ASIC012980, ASIC012979
OG0000010	AFUN2_008281	ASIC012975, ASIC012976, ASIC012973, ASIC012978
OG0000011	AFUN2_011181	ASIC010773
OG0000011	AFUN2_000890	ASIC010781
OG0000011	AFUN2_006226, AFUN2_002927, AFUN2_003622, AFUN2_009821	ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469
OG0000011	AFUN2_002952	ASIC004928
OG0000012	AFUN2_008516	ASIC006970
OG0000012	AFUN2_006798, AFUN2_008107	ASIC017981, ASIC018092
OG0000013	AFUN2_008231	ASIC015707
OG0000013	AFUN2_000667	ASIC015704, ASIC015706, ASIC015705, ASIC015708
OG0000013	AFUN2_011275	ASIC011345
OG0000013	AFUN2_004549, AFUN2_003503, AFUN2_006795	ASIC011343, ASIC011344
OG0000014	AFUN2_006975	ASIC022136
OG0000014	AFUN2_010356	ASIC016031, ASIC016164, ASIC016877, ASIC016850
OG0000014	AFUN2_013192, AFUN2_003737	ASIC016176, ASIC016175, ASIC016177
OG0000014	AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598, AFUN2_000713, AFUN2_001431	ASIC016174, ASIC016178
OG0000015	AFUN2_012161	ASIC018932, ASIC018930, ASIC018931
OG0000015	AFUN2_004072, AFUN2_012163	ASIC012464, ASIC012462
OG0000015	AFUN2_004396	ASIC012461
OG0000016	AFUN2_008470	ASIC010724
OG0000016	AFUN2_011213, AFUN2_014654, AFUN2_011099, AFUN2_013263	ASIC010602, ASIC010601, ASIC010600, ASIC010599
OG0000016	AFUN2_014351	ASIC010595, ASIC010598
OG0000016	AFUN2_010177	ASIC003871
OG0000016	AFUN2_004982	ASIC002621
OG0000018	AFUN2_013059, AFUN2_002966, AFUN2_011150, AFUN2_012475, AFUN2_011223, AFUN2_011876, AFUN2_008864, AFUN2_014266, AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843, AFUN2_001215, AFUN2_001911, AFUN2_003667, AFUN2_014221, AFUN2_006909, AFUN2_000851	ASIC015096
OG0000020	AFUN2_010799, AFUN2_008522, AFUN2_009055, AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335, AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831	ASIC010160
OG0000021	AFUN2_013453	ASIC006150
OG0000021	AFUN2_010217	ASIC012218
OG0000021	AFUN2_001683	ASIC007587
OG0000021	AFUN2_001836	ASIC006151
OG0000021	AFUN2_002771	ASIC015692
OG0000021	AFUN2_007302	ASIC010311
OG0000021	AFUN2_014571	ASIC010313
OG0000021	AFUN2_010167	ASIC010312
OG0000023	AFUN2_002757	ASIC003003
OG0000023	AFUN2_008581, AFUN2_012787, AFUN2_013813, AFUN2_005728, AFUN2_001616	ASIC013723
OG0000024	AFUN2_008754	ASIC018921
OG0000024	AFUN2_004514	ASIC018920
OG0000024	AFUN2_001856	ASIC018905
OG0000026	AFUN2_007391	ASIC016558
OG0000026	AFUN2_003253, AFUN2_004905	ASIC016560
OG0000026	AFUN2_006722	ASIC016118
OG0000026	AFUN2_005978	ASIC014095
OG0000030	AFUN2_012733	ASIC003381
OG0000033	AFUN2_014039	ASIC009220
OG0000033	AFUN2_008977, AFUN2_005452, AFUN2_008949, AFUN2_011104	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221
OG0000034	AFUN2_005553	ASIC012442, ASIC012440
OG0000034	AFUN2_004371	ASIC012445, ASIC012446
OG0000034	AFUN2_010024	ASIC021981
OG0000037	AFUN2_013181	ASIC013351, ASIC013352, ASIC013353
OG0000039	AFUN2_009923	ASIC002581
OG0000039	AFUN2_010939	ASIC000445
