Orthogroup	AminimusMINIMUS1	AsinensisChina
OG0000001	AMIN007636	ASIC013765, ASIC013764
OG0000001	AMIN007637	ASIC013762
OG0000002	AMIN016107	ASIC003137
OG0000002	AMIN016112	ASIC003139
OG0000002	AMIN016106	ASIC003135
OG0000002	AMIN016110, AMIN016108	ASIC003136
OG0000002	AMIN016111	ASIC003140
OG0000002	AMIN006066	ASIC004047
OG0000002	AMIN006068	ASIC006840
OG0000002	AMIN004360	ASIC014765, ASIC014766
OG0000002	AMIN006067	ASIC004039, ASIC004046
OG0000004	AMIN006962	ASIC018314
OG0000006	AMIN006479	ASIC000906
OG0000006	AMIN000978	ASIC012877
OG0000006	AMIN009886	ASIC022014
OG0000008	AMIN005546	ASIC020436
OG0000008	AMIN006880, AMIN006881	ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814
OG0000008	AMIN006884	ASIC017825, ASIC017824
OG0000009	AMIN015675	ASIC018203
OG0000010	AMIN016052	ASIC007846, ASIC015160
OG0000010	AMIN016057	ASIC015159
OG0000010	AMIN016054	ASIC015158, ASIC015157
OG0000010	AMIN016053	ASIC015156
OG0000011	AMIN001659	ASIC010773
OG0000011	AMIN001662	ASIC010781
OG0000011	AMIN009342	ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469
OG0000012	AMIN000411	ASIC006970
OG0000012	AMIN004080	ASIC017981, ASIC018092
OG0000013	AMIN003474, AMIN003475	ASIC015707
OG0000013	AMIN003476	ASIC015704, ASIC015706, ASIC015705, ASIC015708
OG0000013	AMIN003883	ASIC011343
OG0000014	AMIN009469	ASIC022136
OG0000014	AMIN011187	ASIC016031, ASIC016164, ASIC016877, ASIC016850
OG0000014	AMIN011445	ASIC016174, ASIC016178
OG0000015	AMIN010186	ASIC018932, ASIC018930, ASIC018931
OG0000015	AMIN015543, AMIN015541	ASIC012464, ASIC012462
OG0000015	AMIN010826	ASIC012461
OG0000016	AMIN006761	ASIC002621
OG0000018	AMIN004545, AMIN006661, AMIN009874, AMIN006478	ASIC015096
OG0000020	AMIN008653, AMIN008654, AMIN008394, AMIN000732, AMIN009924, AMIN007524, AMIN008655, AMIN008393	ASIC010160
OG0000021	AMIN015466	ASIC006150
OG0000021	AMIN015467	ASIC012218
OG0000021	AMIN015464	ASIC007587
OG0000021	AMIN015465	ASIC006151
OG0000021	AMIN015484	ASIC010311
OG0000021	AMIN015482, AMIN015483	ASIC010313
OG0000023	AMIN008079	ASIC003003
OG0000023	AMIN002713, AMIN003921, AMIN002716, AMIN002718	ASIC013723
OG0000023	AMIN007647, AMIN007646	ASIC013720, ASIC013724, ASIC013722, ASIC000075, ASIC013721
OG0000023	AMIN007806	ASIC019569, ASIC002406
OG0000024	AMIN007573	ASIC018921
OG0000024	AMIN007572	ASIC018920
