Orthogroup	LlongipalpisASM	AstephensiUCISS2018
OG0000000	LOC129794284, LOC129791988	ASTEI20_036954, ASTEI20_045336, ASTEI20_039783
OG0000001	LOC129791522	ASTEI20_035195, ASTEI20_032858, ASTEI20_031571, ASTEI20_032921, ASTEI20_033826, ASTEI20_032698, ASTEI20_041050, ASTEI20_039571
OG0000002	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	ASTEI20_040013, ASTEI20_036300, ASTEI20_038121, ASTEI20_035875, ASTEI20_036499, ASTEI20_043191
OG0000002	LOC129791036	ASTEI20_032133, ASTEI20_045226, ASTEI20_045592, ASTEI20_043030, ASTEI20_031161, ASTEI20_041459, ASTEI20_036351, ASTEI20_044520, ASTEI20_044382, ASTEI20_040275, ASTEI20_041828, ASTEI20_034857, ASTEI20_036438, ASTEI20_036203, ASTEI20_040919
OG0000004	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	ASTEI20_038110, ASTEI20_036006, ASTEI20_038518, ASTEI20_032486, ASTEI20_032191, ASTEI20_034764, ASTEI20_045351, ASTEI20_043633, ASTEI20_042075, ASTEI20_041491, ASTEI20_037387, ASTEI20_032097
OG0000005	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898	ASTEI20_042070, ASTEI20_038750, ASTEI20_037103, ASTEI20_035251, ASTEI20_045538, ASTEI20_043597, ASTEI20_043060, ASTEI20_044767, ASTEI20_032804
OG0000006	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	ASTEI20_034072, ASTEI20_044124, ASTEI20_040743, ASTEI20_032093, ASTEI20_044334, ASTEI20_044113, ASTEI20_036967, ASTEI20_041540, ASTEI20_038144, ASTEI20_037811, ASTEI20_032286, ASTEI20_034295, ASTEI20_045632, ASTEI20_037568, ASTEI20_037125, ASTEI20_032891, ASTEI20_037854, ASTEI20_043019, ASTEI20_046077, ASTEI20_045058, ASTEI20_035134, ASTEI20_042782, ASTEI20_034128, ASTEI20_030984, ASTEI20_031059, ASTEI20_041710, ASTEI20_032630, ASTEI20_036489, ASTEI20_039912, ASTEI20_044414, ASTEI20_037300, ASTEI20_044854, ASTEI20_042709, ASTEI20_039653, ASTEI20_045153, ASTEI20_034435, ASTEI20_038259, ASTEI20_040228, ASTEI20_040458, ASTEI20_045604, ASTEI20_041451
OG0000007	LOC129792965	ASTEI20_031643, ASTEI20_035663, ASTEI20_033805, ASTEI20_036392, ASTEI20_044422, ASTEI20_038493, ASTEI20_041560, ASTEI20_045006, ASTEI20_033378, ASTEI20_036188, ASTEI20_034296, ASTEI20_039161, ASTEI20_043388, ASTEI20_040387
OG0000008	LOC129796114, LOC129787731, LOC129786793	ASTEI20_031614
OG0000008	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	ASTEI20_045981, ASTEI20_045188, ASTEI20_044670, ASTEI20_031005
OG0000009	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899	ASTEI20_040741, ASTEI20_044827
OG0000010	LOC129793217, LOC129791616	ASTEI20_038744, ASTEI20_038323, ASTEI20_041896, ASTEI20_032085, ASTEI20_034511, ASTEI20_045103, ASTEI20_045045, ASTEI20_037148, ASTEI20_039539, ASTEI20_038929, ASTEI20_039292, ASTEI20_037439, ASTEI20_041154, ASTEI20_041324, ASTEI20_040759, ASTEI20_041054, ASTEI20_033362, ASTEI20_037332
OG0000011	LOC129797415	ASTEI20_036542, ASTEI20_039975, ASTEI20_040335, ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899, ASTEI20_037935, ASTEI20_034583, ASTEI20_039544, ASTEI20_039582, ASTEI20_040205, ASTEI20_032335, ASTEI20_044907
OG0000012	LOC129792999	ASTEI20_044217
OG0000012	LOC129796964	ASTEI20_035093
OG0000012	LOC129788898	ASTEI20_044655
OG0000013	LOC129797413	ASTEI20_044393, ASTEI20_036070, ASTEI20_034401
OG0000013	LOC129797312	ASTEI20_042039, ASTEI20_033404, ASTEI20_042237, ASTEI20_043320, ASTEI20_034998, ASTEI20_034168
OG0000014	LOC129792111	ASTEI20_035937, ASTEI20_030803, ASTEI20_045732, ASTEI20_043799, ASTEI20_033207, ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712
OG0000015	LOC129788366, LOC129788367, LOC129788777, LOC129788775, LOC129788781, LOC129788778, LOC129788779, LOC129797049, LOC129793013, LOC129795681, LOC129789753, LOC129789752, LOC129797050, LOC129797052, LOC129797053, LOC129797054, LOC129797059, LOC129797058, LOC129797057, LOC129797056, LOC129797048	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231, ASTEI20_044899, ASTEI20_031600, ASTEI20_037282, ASTEI20_034188
OG0000016	LOC129794929, LOC129788356	ASTEI20_044818
OG0000016	LOC129793987, LOC129790084, LOC129787750, LOC129797705, LOC129797701	ASTEI20_031052, ASTEI20_044106, ASTEI20_037566, ASTEI20_040856, ASTEI20_042351, ASTEI20_033956
OG0000017	LOC129788896	ASTEI20_041579
OG0000017	LOC129785924, LOC129785930, LOC129789495, LOC129786736, LOC129785925, LOC129789161	ASTEI20_039449
OG0000018	LOC129786868	ASTEI20_039488, ASTEI20_033285, ASTEI20_031707, ASTEI20_045349, ASTEI20_039025, ASTEI20_040652, ASTEI20_038491, ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074
OG0000021	LOC129797244	ASTEI20_031602, ASTEI20_042507
OG0000021	LOC129788422	ASTEI20_033844
OG0000021	LOC129795630, LOC129795629	ASTEI20_042388, ASTEI20_042454, ASTEI20_044345, ASTEI20_032692, ASTEI20_040880
OG0000022	LOC129792077	ASTEI20_044612, ASTEI20_045722
OG0000023	LOC129786633	ASTEI20_036442, ASTEI20_033419, ASTEI20_039293, ASTEI20_044320, ASTEI20_035887, ASTEI20_034207, ASTEI20_038660, ASTEI20_042495, ASTEI20_035807
OG0000024	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453	ASTEI20_036317, ASTEI20_030796, ASTEI20_042294, ASTEI20_032042, ASTEI20_038906, ASTEI20_045971, ASTEI20_035495
OG0000026	LOC129792737, LOC129792738	ASTEI20_034431, ASTEI20_045957, ASTEI20_037139, ASTEI20_030979, ASTEI20_036805, ASTEI20_033037
OG0000026	LOC129794486, LOC129789610	ASTEI20_038151
