Orthogroup	AminimusMINIMUS1	AdirusWRAIR2
OG0000001	AMIN007637	ADIR004308
OG0000002	AMIN016106	ADIR003458
OG0000002	AMIN006066	ADIR016077
OG0000002	AMIN006068	ADIR016074
OG0000002	AMIN004360	ADIR002023
OG0000002	AMIN006067	ADIR006361
OG0000003	AMIN006496	ADIR011510
OG0000006	AMIN000978	ADIR004457
OG0000007	AMIN016007	ADIR009667
OG0000007	AMIN008968	ADIR009608
OG0000007	AMIN005434	ADIR000815
OG0000007	AMIN008211	ADIR009669
OG0000007	AMIN009331, AMIN009333, AMIN009332, AMIN009885, AMIN009330	ADIR009595, ADIR009594
OG0000007	AMIN016006	ADIR015954
OG0000007	AMIN008960	ADIR009598
OG0000007	AMIN008959	ADIR009597
OG0000008	AMIN005546	ADIR003918
OG0000008	AMIN006880, AMIN006881	ADIR000457
OG0000008	AMIN006884	ADIR000455
OG0000009	AMIN008550	ADIR002344
OG0000009	AMIN015675	ADIR001877
OG0000010	AMIN016052	ADIR016002
OG0000010	AMIN016057	ADIR016004
OG0000010	AMIN016054	ADIR016001
OG0000010	AMIN016053	ADIR014645
OG0000011	AMIN001659	ADIR006800
OG0000011	AMIN004643	ADIR010578
OG0000011	AMIN001662	ADIR006803
OG0000011	AMIN009342	ADIR000515
OG0000012	AMIN004080	ADIR001583
OG0000012	AMIN015674	ADIR001876
OG0000013	AMIN003475	ADIR010434, ADIR010435
OG0000013	AMIN003883	ADIR003492
OG0000014	AMIN009469	ADIR005075
OG0000014	AMIN011187	ADIR007771
OG0000014	AMIN011445	ADIR001674, ADIR001675
OG0000015	AMIN010186	ADIR006886
OG0000015	AMIN015544	ADIR014733
OG0000015	AMIN015542	ADIR014730
OG0000015	AMIN010826	ADIR008680
OG0000016	AMIN006761	ADIR009355
OG0000018	AMIN006661	ADIR011745, ADIR010868
OG0000018	AMIN009874	ADIR002364
OG0000018	AMIN006478	ADIR006748
OG0000019	AMIN009371	ADIR011725
OG0000020	AMIN008653, AMIN008654	ADIR001887
OG0000020	AMIN000732	ADIR001888
OG0000020	AMIN009924, AMIN007524, AMIN008655, AMIN008393	ADIR009510, ADIR009512
