Orthogroup	LlongipalpisASM	AfunestusAfunGA1
OG0000000	LOC129794284, LOC129791988	AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807
OG0000000	LOC129788552, LOC129785947, LOC129789206, LOC129792934, LOC129790662, LOC129789212, LOC129791171, LOC129792336, LOC129787411, LOC129793343, LOC129794560, LOC129794445, LOC129789580, LOC129797431, LOC129793267, LOC129789569, LOC129791787, LOC129786951, LOC129792883	AFUN2_012339
OG0000001	LOC129791522	AFUN2_002897, AFUN2_007676, AFUN2_013608, AFUN2_003905, AFUN2_009709
OG0000002	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	AFUN2_014359, AFUN2_014054, AFUN2_008570, AFUN2_013651, AFUN2_013390, AFUN2_014070, AFUN2_009636
OG0000002	LOC129791036	AFUN2_009035, AFUN2_002132, AFUN2_005303, AFUN2_006796, AFUN2_005756, AFUN2_002248, AFUN2_003508
OG0000004	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	AFUN2_001150, AFUN2_009612, AFUN2_006106, AFUN2_013665, AFUN2_006350, AFUN2_013636, AFUN2_003330, AFUN2_008877, AFUN2_013113, AFUN2_005179, AFUN2_007262, AFUN2_012616, AFUN2_009887, AFUN2_009657
OG0000005	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898	AFUN2_007230, AFUN2_004842, AFUN2_000892, AFUN2_006367, AFUN2_013793, AFUN2_005075, AFUN2_011723, AFUN2_003443
OG0000006	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	AFUN2_007708, AFUN2_009331, AFUN2_001908, AFUN2_009118, AFUN2_013138, AFUN2_002702, AFUN2_004254, AFUN2_010056, AFUN2_009779, AFUN2_004691, AFUN2_012399, AFUN2_001067, AFUN2_005143, AFUN2_006094, AFUN2_004098, AFUN2_004010, AFUN2_002941, AFUN2_010235, AFUN2_000888, AFUN2_013493, AFUN2_014377, AFUN2_006096, AFUN2_009673, AFUN2_002143, AFUN2_005646, AFUN2_012202, AFUN2_013718, AFUN2_006489, AFUN2_011586, AFUN2_007334, AFUN2_010102, AFUN2_005018, AFUN2_004255, AFUN2_011427, AFUN2_014532
OG0000007	LOC129792965	AFUN2_004043, AFUN2_006670, AFUN2_001709, AFUN2_014614, AFUN2_009778, AFUN2_001920, AFUN2_011937, AFUN2_005862, AFUN2_011780, AFUN2_012023, AFUN2_007690, AFUN2_003406, AFUN2_006859, AFUN2_003170
OG0000008	LOC129796114, LOC129787731, LOC129786793	AFUN2_005813
OG0000008	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	AFUN2_011626, AFUN2_014353, AFUN2_012060, AFUN2_001736, AFUN2_010492
OG0000009	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899	AFUN2_002572, AFUN2_013920, AFUN2_012897, AFUN2_008888, AFUN2_001196, AFUN2_004806, AFUN2_007216, AFUN2_007461, AFUN2_001821, AFUN2_009063, AFUN2_011932, AFUN2_009447, AFUN2_014561
OG0000010	LOC129793217, LOC129791616	AFUN2_008829, AFUN2_000320, AFUN2_014109, AFUN2_009560, AFUN2_009244, AFUN2_008846, AFUN2_008281, AFUN2_001353, AFUN2_006534, AFUN2_002304, AFUN2_006559, AFUN2_012647, AFUN2_010091
OG0000011	LOC129797415	AFUN2_011181, AFUN2_008927, AFUN2_000890, AFUN2_006226, AFUN2_002927, AFUN2_003622, AFUN2_009821, AFUN2_002952
OG0000012	LOC129789249	AFUN2_005969
OG0000012	LOC129796964	AFUN2_008516
OG0000012	LOC129788898	AFUN2_006798
OG0000012	LOC129785913	AFUN2_008107
OG0000013	LOC129797413	AFUN2_008231, AFUN2_000667
OG0000013	LOC129797312	AFUN2_002726, AFUN2_011275, AFUN2_004549, AFUN2_003503, AFUN2_006795, AFUN2_014386
OG0000014	LOC129792111	AFUN2_006975, AFUN2_010356, AFUN2_013192, AFUN2_003737, AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598, AFUN2_000713, AFUN2_001431
OG0000015	LOC129788366, LOC129788367, LOC129788777, LOC129788775, LOC129788781, LOC129788778, LOC129788779, LOC129797049, LOC129793013, LOC129795681, LOC129789753, LOC129789752, LOC129797050, LOC129797052, LOC129797053, LOC129797054, LOC129797059, LOC129797058, LOC129797057, LOC129797056, LOC129797048	AFUN2_012161, AFUN2_000980, AFUN2_004072, AFUN2_012163, AFUN2_005101, AFUN2_004396
OG0000016	LOC129794929, LOC129788356	AFUN2_008470
OG0000016	LOC129793987, LOC129790084, LOC129787750, LOC129797705, LOC129797701	AFUN2_011213, AFUN2_014654, AFUN2_011099, AFUN2_013263, AFUN2_014351, AFUN2_010177, AFUN2_004982
OG0000017	LOC129788896	AFUN2_003556, AFUN2_007093
OG0000017	LOC129785930, LOC129789495	AFUN2_008822
OG0000017	LOC129785925	AFUN2_006866
OG0000018	LOC129786868	AFUN2_013059, AFUN2_002966, AFUN2_011150, AFUN2_012475, AFUN2_011223, AFUN2_011876, AFUN2_008864, AFUN2_014266, AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843, AFUN2_001215, AFUN2_001911, AFUN2_003667, AFUN2_014221, AFUN2_006909, AFUN2_000851
OG0000021	LOC129797244	AFUN2_013453, AFUN2_010217
OG0000021	LOC129788422	AFUN2_001683
OG0000021	LOC129795630, LOC129795629	AFUN2_011639, AFUN2_002771, AFUN2_007302, AFUN2_014571, AFUN2_010167
OG0000022	LOC129792077	AFUN2_003020, AFUN2_009564, AFUN2_014204, AFUN2_008458, AFUN2_006596, AFUN2_002978
OG0000023	LOC129786633	AFUN2_002757, AFUN2_008581, AFUN2_012787, AFUN2_013813, AFUN2_005728, AFUN2_001616
