Orthogroup	AaegyptiLVP_AGWG	LlongipalpisASM
OG0000000	AAEL023571	LOC129788552, LOC129785947, LOC129789206, LOC129792934, LOC129790662, LOC129789212, LOC129791171, LOC129792336, LOC129787411, LOC129793343, LOC129794560, LOC129794445, LOC129789580, LOC129797431, LOC129793267, LOC129789569, LOC129791787, LOC129786951, LOC129792883
OG0000001	AAEL015424	LOC129785915
OG0000002	AAEL014891, AAEL014893, AAEL014890	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570
OG0000002	AAEL009127, AAEL009128, AAEL017297, AAEL009117, AAEL009125, AAEL010151, AAEL010158, AAEL009137, AAEL009133, AAEL009122, AAEL017539, AAEL017556, AAEL009138, AAEL009121, AAEL009124, AAEL009126	LOC129791036
OG0000004	AAEL015682, AAEL022865, AAEL024711, AAEL026969, AAEL021229, AAEL022111, AAEL020157, AAEL022281, AAEL022860, AAEL023072, AAEL022390, AAEL021983, AAEL021223, AAEL020177, AAEL021358, AAEL023016, AAEL023479, AAEL023589, AAEL023305, AAEL020063, AAEL021300, AAEL020023, AAEL023817, AAEL024024, AAEL021297, AAEL022550, AAEL023013, AAEL020030, AAEL020426	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490
OG0000005	AAEL020911, AAEL027845, AAEL028154, AAEL025825, AAEL022644, AAEL022528, AAEL027710, AAEL024313, AAEL027993, AAEL026417, AAEL020211, AAEL020600, AAEL018018, AAEL020420, AAEL029060, AAEL021037, AAEL024765, AAEL021663, AAEL021599	LOC129793054
OG0000005	AAEL020772, AAEL020343, AAEL026864, AAEL027063, AAEL023870, AAEL027441, AAEL020713, AAEL021448, AAEL020514, AAEL020730, AAEL020395, AAEL020912, AAEL020951, AAEL021271, AAEL021472, AAEL021537, AAEL021707, AAEL028019, AAEL024277, AAEL024514, AAEL026916, AAEL024999, AAEL021726, AAEL028199, AAEL024832, AAEL026982, AAEL025166, AAEL028040, AAEL023925, AAEL027679, AAEL027391, AAEL026342, AAEL023688, AAEL025522, AAEL027502, AAEL023340, AAEL025688, AAEL023726, AAEL023154, AAEL022883, AAEL022311, AAEL022412, AAEL023138, AAEL022323, AAEL022210, AAEL021937, AAEL022047, AAEL025009, AAEL025480, AAEL026667, AAEL026360, AAEL025273, AAEL026951, AAEL025372, AAEL027250, AAEL024969, AAEL025262, AAEL026653, AAEL026204, AAEL023927, AAEL026631	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898
OG0000006	AAEL019665, AAEL025985, AAEL013375, AAEL024806, AAEL022442, AAEL026752	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384
OG0000008	AAEL014617, AAEL014613, AAEL014615, AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366, AAEL002638, AAEL002633, AAEL014619, AAEL019603, AAEL006795, AAEL014605, AAEL014614, AAEL006815, AAEL006784, AAEL006805, AAEL028635, AAEL014618, AAEL014604, AAEL019504	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727
OG0000009	AAEL020927, AAEL020601, AAEL012499, AAEL003706, AAEL003687, AAEL003669, AAEL021193, AAEL020887, AAEL020309, AAEL021638, AAEL021635, AAEL021158, AAEL021053, AAEL020675, AAEL021644, AAEL022643, AAEL022062, AAEL021518, AAEL022584, AAEL020050, AAEL020348, AAEL020605, AAEL022071, AAEL022701, AAEL020066, AAEL022197, AAEL020249, AAEL021347, AAEL021778, AAEL021459, AAEL007005	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899
OG0000010	AAEL008218, AAEL008217, AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206, AAEL008212	LOC129793217, LOC129791616
OG0000011	AAEL025558, AAEL021195, AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858	LOC129797415
OG0000012	AAEL006158	LOC129792999
OG0000012	AAEL027861	LOC129789249
OG0000012	AAEL009284, AAEL009296	LOC129796964
OG0000012	AAEL020629, AAEL020985, AAEL020370, AAEL021821, AAEL020755, AAEL021112, AAEL021038, AAEL020107, AAEL000492, AAEL021327, AAEL022066, AAEL021946, AAEL021903, AAEL021049, AAEL003685, AAEL021142, AAEL020763, AAEL019635, AAEL021601, AAEL021182, AAEL021205, AAEL012072, AAEL021161, AAEL020810, AAEL021754	LOC129788898
OG0000013	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163	LOC129797413
OG0000013	AAEL023763, AAEL002110, AAEL002099, AAEL026306, AAEL027846, AAEL028212, AAEL002092	LOC129797312
OG0000014	AAEL003156, AAEL007942, AAEL020192, AAEL011007	LOC129792111
OG0000015	AAEL010677, AAEL010671, AAEL017179, AAEL007669, AAEL029052, AAEL017320, AAEL017302, AAEL001461, AAEL017452	LOC129788366, LOC129788367, LOC129788777, LOC129788775, LOC129788781, LOC129788778, LOC129788779, LOC129797049, LOC129793013, LOC129795681, LOC129789753, LOC129789752, LOC129797050, LOC129797052, LOC129797053, LOC129797054, LOC129797059, LOC129797058, LOC129797057, LOC129797056, LOC129797048
OG0000016	AAEL010202, AAEL013712, AAEL010196, AAEL013703, AAEL007601, AAEL023729, AAEL013715, AAEL012852, AAEL006425, AAEL007818, AAEL004996	LOC129793987, LOC129790084, LOC129787750, LOC129797705, LOC129797701
OG0000017	AAEL003846	LOC129788896
OG0000017	AAEL020506, AAEL021628, AAEL020517, AAEL020976, AAEL020216	LOC129789495
OG0000017	AAEL021405	LOC129786736
OG0000017	AAEL021604	LOC129785925
OG0000017	AAEL020831	LOC129789161
OG0000018	AAEL018005, AAEL025919, AAEL023550, AAEL022469, AAEL027321, AAEL024352, AAEL023264, AAEL022185, AAEL022664, AAEL023871, AAEL018047, AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374, AAEL020762, AAEL026324	LOC129786868
OG0000021	AAEL004631, AAEL001673	LOC129797244
OG0000021	AAEL011197	LOC129788422
OG0000021	AAEL001928, AAEL009451, AAEL001951, AAEL005964, AAEL005961	LOC129795630, LOC129795629
OG0000023	AAEL000351, AAEL029065, AAEL021993, AAEL000379, AAEL000323, AAEL024983	LOC129786633
OG0000024	AAEL006157, AAEL010380, AAEL017311, AAEL010367, AAEL024680, AAEL010384, AAEL010370, AAEL010382, AAEL026787	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453
OG0000026	AAEL013496, AAEL013501, AAEL013493, AAEL015116, AAEL015113, AAEL013492, AAEL011763, AAEL011764, AAEL020579	LOC129792737, LOC129792738
OG0000026	AAEL014544	LOC129794486, LOC129789610
OG0000027	AAEL012642, AAEL012648, AAEL012653, AAEL015254, AAEL015252, AAEL012641, AAEL012649, AAEL012646, AAEL012652, AAEL012645, AAEL027171, AAEL012651, AAEL025465, AAEL012644, AAEL012650, AAEL012647	LOC129787685, LOC129788076, LOC129787459, LOC129796690, LOC129787460, LOC129787462
OG0000030	AAEL000087, AAEL025334, AAEL019959, AAEL001794, AAEL019958	LOC129790527
OG0000033	AAEL005064, AAEL000038, AAEL000074, AAEL000037, AAEL000028, AAEL000099	LOC129794355, LOC129787784
OG0000034	AAEL013796, AAEL013562, AAEL013549, AAEL002258, AAEL002279, AAEL011868, AAEL013557, AAEL013547	LOC129791586
OG0000036	AAEL000543, AAEL011455, AAEL002524, AAEL029020, AAEL011453, AAEL000563, AAEL027443, AAEL005641, AAEL029058, AAEL029053, AAEL022823, AAEL000556, AAEL000533, AAEL009209, AAEL011079, AAEL011408, AAEL011404, AAEL011407, AAEL012353, AAEL027215, AAEL023353, AAEL000283, AAEL025802, AAEL029039	LOC129795821
