Orthogroup	AdirusWRAIR2	AaegyptiLVP_AGWG
OG0000001	ADIR004308	AAEL008994
OG0000001	ADIR014366	AAEL008977, AAEL009004, AAEL008989, AAEL029076, AAEL008995, AAEL008993, AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971, AAEL029122, AAEL029080, AAEL029123, AAEL008975, AAEL015280, AAEL014770, AAEL029092, AAEL009007, AAEL009000, AAEL027622, AAEL008984, AAEL000665, AAEL015503, AAEL014977, AAEL008990
OG0000001	ADIR014365, ADIR014363	AAEL025577
OG0000002	ADIR003458	AAEL014891
OG0000002	ADIR016077, ADIR016078, ADIR016076, ADIR016098	AAEL009127
OG0000002	ADIR016100, ADIR016102	AAEL009128, AAEL017297, AAEL009117, AAEL009125
OG0000002	ADIR016074	AAEL010151, AAEL010158
OG0000002	ADIR016075	AAEL009137, AAEL009133, AAEL009122
OG0000002	ADIR002023	AAEL017539
OG0000002	ADIR006361	AAEL017556, AAEL009138, AAEL009121, AAEL009124, AAEL009126
OG0000004	ADIR001878	AAEL022865, AAEL024711, AAEL026969
OG0000006	ADIR004457	AAEL026752
OG0000008	ADIR000457	AAEL014617, AAEL014613, AAEL014615, AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366, AAEL002638, AAEL002633, AAEL014619, AAEL019603
OG0000008	ADIR000455	AAEL006795, AAEL014605, AAEL014614, AAEL006815, AAEL006784, AAEL006805, AAEL028635, AAEL014618, AAEL014604, AAEL019504
OG0000009	ADIR002344	AAEL012499, AAEL003706, AAEL003687
OG0000009	ADIR001877	AAEL022584, AAEL020050
OG0000010	ADIR016002, ADIR016004, ADIR016001, ADIR014645	AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206
OG0000011	ADIR006803	AAEL021195
OG0000011	ADIR000515, ADIR000517	AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858
OG0000012	ADIR002719	AAEL006158
OG0000012	ADIR001583	AAEL020629, AAEL020985, AAEL020370, AAEL021821, AAEL020755, AAEL021112, AAEL021038, AAEL020107, AAEL000492, AAEL021327, AAEL022066, AAEL021946, AAEL021903, AAEL021049, AAEL003685, AAEL021142, AAEL020763, AAEL019635, AAEL021601, AAEL021182, AAEL021205, AAEL012072, AAEL021161, AAEL020810, AAEL021754
OG0000013	ADIR010434, ADIR010435	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163
OG0000013	ADIR003492	AAEL026306, AAEL027846, AAEL028212, AAEL002092
OG0000014	ADIR005075	AAEL003156, AAEL007942, AAEL020192
OG0000014	ADIR007771, ADIR003639, ADIR001674, ADIR001675	AAEL011007
OG0000015	ADIR006886	AAEL010677
OG0000015	ADIR014733, ADIR008681, ADIR014730, ADIR008680	AAEL010671
OG0000016	ADIR009355	AAEL007818, AAEL004996
OG0000017	ADIR001584	AAEL003846
OG0000018	ADIR008559, ADIR005691, ADIR007658, ADIR007530, ADIR010830, ADIR011706, ADIR011724, ADIR011745, ADIR010868, ADIR009844, ADIR002364	AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374
OG0000018	ADIR006748	AAEL020762, AAEL026324
OG0000020	ADIR001887, ADIR009509, ADIR009511, ADIR014827, ADIR009513, ADIR009514, ADIR009508, ADIR001888, ADIR009510, ADIR009512	AAEL008681
OG0000021	ADIR003865	AAEL001673
OG0000021	ADIR001186	AAEL011197
OG0000021	ADIR002970	AAEL004616
OG0000021	ADIR010427	AAEL009451
OG0000021	ADIR015616	AAEL001951
OG0000021	ADIR015615, ADIR015614, ADIR002969	AAEL005964
OG0000023	ADIR004298	AAEL000351, AAEL029065
OG0000023	ADIR007551, ADIR007550	AAEL021993, AAEL000379, AAEL000323, AAEL024983
OG0000024	ADIR006878	AAEL010380, AAEL017311
OG0000024	ADIR006877	AAEL010367, AAEL024680
OG0000024	ADIR015850	AAEL010384
OG0000024	ADIR015848, ADIR015847	AAEL010370, AAEL010382
OG0000024	ADIR015846, ADIR015844, ADIR015845	AAEL026787
OG0000026	ADIR015755, ADIR015752	AAEL013496, AAEL013501
OG0000026	ADIR015756, ADIR015753	AAEL013493
OG0000026	ADIR015757, ADIR015758, ADIR015759	AAEL015116, AAEL015113
OG0000026	ADIR015754	AAEL013492
