Orthogroup	AminimusMINIMUS1	Aalbopictus_AalbF5
OG0000001	AMIN007636	LOC109404300
OG0000001	AMIN007637	LOC109399492
OG0000002	AMIN016107, AMIN016112, AMIN016106, AMIN016109, AMIN016110, AMIN016108	LOC109623203
OG0000002	AMIN016111	LOC115269310, LOC109623208, LOC115269311
OG0000002	AMIN006066	LOC109421559
OG0000002	AMIN006068	LOC109398259, LOC109398237
OG0000002	AMIN004360	LOC109425972
OG0000002	AMIN006067	LOC109421555, LOC109421477, LOC109421549, LOC109409164, LOC109421553
OG0000003	AMIN006496	LOC115263674, LOC134288397, LOC134284661, LOC109425569, LOC115269856, LOC134289785, LOC134290234, LOC115259186, LOC109401733, LOC134287668, LOC134290869, LOC134286416, LOC134290695, LOC134287787, LOC134284039, LOC134284958, LOC109398612, LOC134287950, LOC134284742, LOC134288900, LOC134286312, LOC134290579, LOC134287532, LOC134286006, LOC134291858, LOC134290045, LOC134285622, LOC134286328, LOC134290508, LOC115268916, LOC134287570, LOC134286687, LOC134290952, LOC134285216, LOC134285947, LOC134287672, LOC134289020, LOC134290384, LOC134286371, LOC134286175, LOC134290947, LOC115267362, LOC134289555, LOC134287087, LOC115254827, LOC134288203, LOC115259988
OG0000004	AMIN006962	LOC115255836, LOC115262910, LOC115261255, LOC115263152, LOC115263804, LOC134286849, LOC115261266, LOC115261594, LOC134284554, LOC109398605, LOC109398661, LOC115264627, LOC115264619, LOC115264618, LOC115264613, LOC115264602, LOC109420134, LOC109420130, LOC109420106, LOC109431202, LOC109420103
OG0000006	AMIN006479	LOC134285105
OG0000006	AMIN000978	LOC134291131
OG0000008	AMIN006880, AMIN006881	LOC109426418, LOC134289744, LOC109426424, LOC109403928, LOC134289746, LOC109426415, LOC134291979, LOC134291978, LOC134291018, LOC109403845, LOC109426416, LOC109433244, LOC109424185, LOC115258886, LOC109403897, LOC109426422, LOC115254008, LOC109426419
OG0000008	AMIN006884	LOC109403786, LOC109403754, LOC109426407, LOC109426413, LOC109426414, LOC109403795, LOC109426411, LOC109426410, LOC109426408, LOC109426420, LOC134283913
OG0000009	AMIN008550	LOC109405821
OG0000009	AMIN015675	LOC109404520, LOC109413309, LOC115255181, LOC109397503, LOC109420132, LOC115253798, LOC115270076, LOC109404534, LOC109431220, LOC134284429, LOC109623442, LOC134284415, LOC134284432, LOC115264626, LOC134284430, LOC109431199, LOC115264612, LOC109407185, LOC115264620, LOC134284416, LOC115254131, LOC115255182, LOC109621651, LOC109397481, LOC109404592
OG0000010	AMIN016052, AMIN016057, AMIN016054, AMIN016053	LOC109432002, LOC109431992, LOC115265379, LOC109432055
OG0000011	AMIN001662	LOC109411313
OG0000011	AMIN009342	LOC109397937, LOC109429729, LOC109429746, LOC115266488, LOC109397936, LOC115262102, LOC109408539, LOC109408562, LOC109429602
OG0000012	AMIN000411	LOC109413799, LOC109409461, LOC109409491
OG0000012	AMIN004080	LOC134292035, LOC134288780, LOC134291667, LOC115261253, LOC134284526, LOC134284428, LOC115255203, LOC115264617, LOC115258846, LOC115270054
OG0000012	AMIN015676	LOC134289521
OG0000013	AMIN003474, AMIN003475, AMIN003476	LOC109411041, LOC115268685, LOC109398584, LOC109411057, LOC109398582, LOC109411037, LOC109398594, LOC115264164, LOC109411043, LOC109398585, LOC109411044
OG0000013	AMIN003883	LOC109409017, LOC109429134
OG0000014	AMIN009469	LOC109621611, LOC109400072, LOC109426996, LOC109419319
OG0000014	AMIN011187, AMIN011445	LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246
OG0000015	AMIN015544, AMIN015543, AMIN015541, AMIN015542, AMIN010826	LOC109401312
OG0000016	AMIN006761	LOC109411296, LOC109622023
OG0000017	AMIN004079	LOC109431229, LOC109404554
OG0000017	AMIN009236	LOC115264622
OG0000017	AMIN011507	LOC109420100
OG0000018	AMIN004545, AMIN006661, AMIN009874	LOC115256715
OG0000018	AMIN006478	LOC115260339
OG0000019	AMIN009371	LOC134289860, LOC134289648, LOC134289865, LOC134287569, LOC134290246, LOC134286922, LOC134290119, LOC134290688, LOC134286092, LOC134291950, LOC134290497, LOC134286074, LOC134290146, LOC134286938, LOC134289657, LOC134286035, LOC134290114, LOC134288517, LOC134290225, LOC134286676, LOC134286375, LOC134288519, LOC134290224, LOC134290941, LOC134290903, LOC134290461, LOC134290048, LOC134286534, LOC134290052, LOC134290129, LOC134291041, LOC134290401, LOC134289481, LOC134288699, LOC134288992, LOC134286273, LOC134289517, LOC134290831, LOC134291988
OG0000020	AMIN008653, AMIN008654, AMIN008394, AMIN000732, AMIN009924, AMIN007524, AMIN008655, AMIN008393	LOC109406040
OG0000021	AMIN015466	LOC109404004
OG0000021	AMIN015467	LOC115267287
OG0000021	AMIN015464	LOC115253654
OG0000021	AMIN015465	LOC109432057
OG0000021	AMIN015484	LOC109412625
OG0000021	AMIN015482, AMIN015483	LOC109401551
OG0000022	AMIN001285	LOC134286212, LOC134286359, LOC134285118, LOC134286958
OG0000022	AMIN001286	LOC134290726, LOC134284928, LOC134286095, LOC109417500, LOC134290725
OG0000023	AMIN002713, AMIN003921, AMIN002716, AMIN002718, AMIN007647, AMIN007646	LOC109400700, LOC109399437, LOC115266810, LOC115266791
OG0000023	AMIN007806	LOC109400762, LOC109399431, LOC109400704, LOC115270033, LOC109400701, LOC109400768
OG0000024	AMIN007573	LOC109408695, LOC109408675
OG0000024	AMIN007572	LOC109403004, LOC109408692
OG0000024	AMIN011339	LOC109408663
OG0000026	AMIN015473, AMIN015476	LOC109423856
OG0000026	AMIN015474	LOC115270199
OG0000026	AMIN015475	LOC115269863
