Orthogroup	AsinensisChina	AstephensiUCISS2018
OG0000001	ASIC013765, ASIC013764	ASTEI20_043116, ASTEI20_033272, ASTEI20_044305, ASTEI20_045927, ASTEI20_033127
OG0000001	ASIC013748, ASIC013742, ASIC013743	ASTEI20_046161
OG0000001	ASIC013758, ASIC013760, ASIC013756, ASIC013755, ASIC013750, ASIC013753, ASIC013746, ASIC013749, ASIC013759, ASIC013761	ASTEI20_035195, ASTEI20_032858, ASTEI20_031571, ASTEI20_032921, ASTEI20_033826, ASTEI20_032698
OG0000001	ASIC013744	ASTEI20_041050, ASTEI20_039571
OG0000002	ASIC003137	ASTEI20_040013
OG0000002	ASIC003139	ASTEI20_036300
OG0000002	ASIC003135	ASTEI20_038121
OG0000002	ASIC003136	ASTEI20_036499
OG0000002	ASIC003140	ASTEI20_043191
OG0000002	ASIC004047	ASTEI20_032133, ASTEI20_045226
OG0000002	ASIC004049	ASTEI20_045592, ASTEI20_043030
OG0000002	ASIC004048	ASTEI20_031161, ASTEI20_041459
OG0000002	ASIC004044	ASTEI20_036351, ASTEI20_044520
OG0000002	ASIC006840	ASTEI20_034857, ASTEI20_036438
OG0000002	ASIC014765, ASIC014766	ASTEI20_036203
OG0000002	ASIC004039, ASIC004046	ASTEI20_040919
OG0000004	ASIC018314	ASTEI20_038110, ASTEI20_036006, ASTEI20_038518, ASTEI20_032486, ASTEI20_032191, ASTEI20_034764, ASTEI20_045351, ASTEI20_043633, ASTEI20_042075, ASTEI20_041491, ASTEI20_037387, ASTEI20_032097
OG0000006	ASIC000906	ASTEI20_034072, ASTEI20_044124, ASTEI20_040743, ASTEI20_032093, ASTEI20_044334, ASTEI20_044113, ASTEI20_036967, ASTEI20_041540, ASTEI20_038144
OG0000006	ASIC015100	ASTEI20_037811, ASTEI20_032286, ASTEI20_034295, ASTEI20_045632, ASTEI20_037568
OG0000006	ASIC012877	ASTEI20_037125
OG0000008	ASIC020436	ASTEI20_031614
OG0000008	ASIC017821, ASIC017823, ASIC017822	ASTEI20_045981
OG0000008	ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814	ASTEI20_045188
OG0000008	ASIC017825	ASTEI20_044670
OG0000008	ASIC017824	ASTEI20_031005
OG0000009	ASIC018203	ASTEI20_044827
OG0000010	ASIC007831, ASIC007832	ASTEI20_038744
OG0000010	ASIC007846, ASIC015160	ASTEI20_038323
OG0000010	ASIC015159	ASTEI20_041896
OG0000010	ASIC015158, ASIC015157	ASTEI20_032085
OG0000010	ASIC015156	ASTEI20_034511
OG0000010	ASIC012971, ASIC012972, ASIC012980, ASIC012979	ASTEI20_045103, ASTEI20_045045
OG0000010	ASIC012975, ASIC012976, ASIC012973, ASIC012978	ASTEI20_037148, ASTEI20_039539
OG0000011	ASIC010773	ASTEI20_036542
OG0000011	ASIC010781	ASTEI20_040335
OG0000011	ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469	ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899, ASTEI20_037935, ASTEI20_034583, ASTEI20_039544, ASTEI20_039582, ASTEI20_040205
OG0000011	ASIC004928	ASTEI20_032335
OG0000012	ASIC006970	ASTEI20_035093
OG0000012	ASIC017981, ASIC018092	ASTEI20_044655
OG0000013	ASIC015707	ASTEI20_044393
OG0000013	ASIC015704, ASIC015706, ASIC015705, ASIC015708	ASTEI20_036070, ASTEI20_034401
OG0000013	ASIC011345	ASTEI20_033404
OG0000013	ASIC011343	ASTEI20_042237, ASTEI20_043320
OG0000014	ASIC022136	ASTEI20_035937
OG0000014	ASIC016031, ASIC016164, ASIC016877, ASIC016850	ASTEI20_030803
OG0000014	ASIC016176, ASIC016175, ASIC016177	ASTEI20_045732, ASTEI20_043799, ASTEI20_033207
OG0000014	ASIC016174, ASIC016178	ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712
OG0000015	ASIC018932, ASIC018930, ASIC018931	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231
OG0000015	ASIC012464, ASIC012462	ASTEI20_031600, ASTEI20_037282
